Word,Pinyin,Meaning,Type,Level,Topic
發生,fāshēng,"to happen, to occur, take place",VS,A2,Other
發現,fāxiàn,to discover,VA,A2,People
飛,fēi,to fly,VA,A2,Other
父親,fùqīn,father,N,A2,People
服務生,fúwùshēng,"attendant, service person, waiter",N,A2,People
乾,gān,to be dry,VS,A2,Actions
剛剛,gānggāng,just now,Adv,A2,Other
給,gěi,"for, for the benefit of, by(in passive cons)",Prep,A2,People
跟,gēn,rep with,Prep,A2,People
恭喜,gōngxǐ,to congratulate,VS,A2,Other
工作,gōngzuò,to work,VA,A2,Conjunctions
夠,gòu,to be enough,VS,A2,Actions
掛,guà,to hang,VA,A2,Other
乖,guāi,to be well-behaved,VS,A2,Actions
關上,guānshàng,"to close, to shut; to turn off",VA,A2,Other
果汁,guǒzhī,fruit juice,N,A2,Food
過來,guòlái,"to come over/ up, come here",VA,A2,People
過年,guònián,to celebrate the Chinese New Year,VA,A2,Time
過去,guòqù,"in the past, formerly",N,A2,People
過去,guòqù,"to go over, to pass by",VA,A2,Actions
故事,gùshì,story,N,A2,Conjunctions
還,hái,"still, yet, also, too, as well, besides",Adv,A2,People
海,hǎi,"ocean, sea",N,A2,Other
害怕,hàipà,be afraid/scared,VS,A2,Emotions
漢堡,hànbǎo,hamburger,N,A2,Other
韓國,hánguó,the Republic of Korea,N,A2,People
漢語,hànyǔ,Chinese/ Sinitic language(s),N,A2,People
漢字,hànzì,"Ch character, sinograph",N,A2,People
好看,hǎokàn,to be good-looking,VS,A2,Actions
河,hé,river,N,A2,People
盒子,hézi,"box, case",N,A2,Other
黑,hēi,(1)to be black; (2)to be dark,VS,A2,Actions
黑色,hēisè,black,N,A2,Other
紅,hóng,to be red,VS,A2,Actions
紅包,hóngbāo,red envelope containing a money gift,N,A2,People
紅茶,hóngchá,black tea,N,A2,Food
紅綠燈,hónglǜdēng,traffic light,N,A2,People
後來,hòulái,"afterwards, later on",N,A2,Other
護士,hùshì,hospital nurse,N,A2,Places
畫家,huàjiā,a painter(as in an artist),N,A2,People
黃,huáng,to be yellow,VS,A2,Actions
花園,huāyuán,flower garden,N,A2,People
滑雪,huáxuě,to ski,VA,A2,People
會,huì,will,Adv,A2,People
回答,huídá,to answer,VA,A2,People
活,huó,to be alive,VS,A2,Actions
或,huò,"or, either or",Conj,A2,People
或是,huòshì,"or, perhaps",Conj,A2,Conjunctions
機會,jīhuì,"chance, opportunity",N,A2,People
記,jì,"to record, to write, to jot down",VA,A2,Actions
計程車,jìchéngchē,taxi,N,A2,People
計畫,jìhuà,"plan, project, program   計畫/劃 jìhuà/huà : to plan, to map out","N, VA",A2,Other
家庭,jiātíng,"family, household",N,A2,People
簡單,jiǎndān,"to be simple, uncomplicated",VS,A2,Animals
件,jiàn,"Individual measure word for affairs, incidents, etc.",M,A2,People
講話,jiǎnghuà,"to speak, talk, address",VA,A2,Clothes
教,jiào,to teach,VA,A2,Food
交,jiāo,"to hand over, to deliver",VA,A2,People
餃子,jiǎozi,Chinese dumpling,N,A2,People
結婚,jiéhūn,"to marry, to get married",VA,A2,People
節目,jiémù,"program, events(of entertainment, a program, etc.)",N,A2,People
解決,jiějué,"to resolve, settle",VA,A2,Conjunctions
借,jiè,"to borrow, to lend",VA,A2,Conjunctions
斤,jīn,a unit of weight,M,A2,People
經過,jīngguò,"to pass by, to pass through",VA,A2,Other
警察,jǐngchá,police officer,N,A2,Places
緊張,jǐnzhāng,"to be nervous, to be tense",VS,A2,Actions
就要,jiùyào,"soon, in no time",Adv,A2,People
決定,juédìng,to decide,VA,A2,People
句子,jùzi,sentence,N,A2,Other
開始,kāishǐ,to start,VA,A2,Other
開水,kāishuǐ,boiling/ boiled water,N,A2,Food
開心,kāixīn,"to feel happy, rejoice",VS,A2,Emotions
開學,kāixué,"to start school, to begin term",VS,A2,Actions
看到,kàndào,to see,VA,A2,Other
看見,kànjiàn,to see,VA,A2,Other
烤,kǎo,"to roast, to toast, to bake",VA,A2,Other
棵,kē,individual measure word for plants and vegetable,M,A2,Food
科學,kēxué,science,N,A2,People
渴,kě,to be thirsty,VS,A2,Actions
可愛,kěài,"to be lovable, likeable, adorable, cute",VS,A2,Actions
課本,kèběn,textbook,N,A2,Other
客氣,kèqì,to be polite,VS,A2,Actions
客人,kèrén,"guest, visitor",N,A2,People
課文,kèwén,text in a school book,N,A2,Places
空氣,kōngqì,air,N,A2,People
口,kǒu,"(1)measure word for people;(2)Mouthful, measure word for things kept in the mouth",M,A2,People
哭,kū,"to cry, to weep",VA,A2,People
苦,kǔ,to be bitter,VS,A2,Actions
塊,kuài,Individual measure word for a solid substance with a regular shape,M,A2,People
筷子,kuàizi,chopsticks,N,A2,People
拉,lā,"to pull, to tug",VA,A2,Other
藍,lán,to be blue,VS,A2,Actions
藍色,lánsè,blue,N,A2,Other
老,lǎo,"to be old, aged",VS,A2,Actions
老人,lǎorén,old man/ woman,N,A2,People
裡,lǐ,"inside   裡邊(兒) lǐbiān(ér): interior, inside","N, N",A2,People
禮物,lǐwù,"present, gift",N,A2,People
臉,liǎn,face,N,A2,Other
練習,liànxí,"to practice, to drill",VA,A2,People
涼,liáng,to be cool,VS,A2,Actions
涼快,liángkuài,to be(pleasantly)cool,VS,A2,Actions
亮,liàng,"to be sunny, to be bright",VS,A2,Actions
輛,liàng,"measure word for any conveyance, etc.   聊天(兒) liáotiān(ér): to chat/ chatting","M, VA",A2,Clothes
零,líng,zero,Det,A2,Other
留,liú,"to leave(message, thing, etc.), to stay, to remain, to keep",VA,A2,People
樓,lóu,"floor, story",N,A2,Conjunctions
旅遊,lǚyóu,to travel,VA,A2,Travel
綠,lǜ,to be green,VS,A2,Actions
亂,luàn,to be messy,VS,A2,Actions
路上,lùshàng,on the road,N,A2,People
麻煩,máfán,"an on annoyance, troublesome",N,A2,People
麻煩,máfán,to be annoyed; to bother,VS,A2,Actions
馬,mǎ,horse,N,A2,Animals
馬上,mǎshàng,immediately,Adv,A2,People
慢,màn,to be slow; slowly,VS,A2,Actions
毛衣,máoyī,sweater,N,A2,Food
帽子,màozi,"hat, cap, headgear",N,A2,Clothes
美,měi,to be beautiful,VS,A2,Actions
美麗,měilì,"to be beautiful   摩托車/機車 mótuōchē/jīchē : motorcycle, motor scooter","VS, N",A2,Actions
木頭,mùtóu,"wood, log, timber",N,A2,People
哪,nǎ,which,Det,A2,People
那邊,nàbiān,"there, over there   那麼(樣) nàme(yàng): well, in that case","N, Adv",A2,Clothes
奶奶,nǎinai,"grandma, grandmother(father's mother)",N,A2,People
難過,nánguò,"to be sad, to be distressed",VA,A2,Emotions
年紀,niánjì,age,N,A2,Other
年輕,niánqīng,to be young,VS,A2,Actions
念,niàn,"to read aloud, to study   鳥(兒) niǎo(ér): bird","VA, N",A2,Animals
努力,nǔlì,"to make great effort, try hard",VS,A2,Food
暖和,nuǎnhuo,to be warm,VS,A2,Actions
爬,pá,"to climb, to crawl",VA,A2,People
爬山,páshān,"to climb a mountain, to hike on hills",VA,A2,People
怕,pà,to fear,VS,A2,Other
拍,pāi,"to clap, beat, pat",VA,A2,Food
盤,pán,container measure word for the contents of a plate,M,A2,People
盤子,pánzi,"plate   旁邊(兒) pángbiān(ér): side, by the side of, near by","N, N",A2,People
胖,pàng,to be fat,VS,A2,Actions
跑,pǎo,to run,VA,A2,Actions
片,piàn,"partial measure word for thin, flat pieces of something",M,A2,People
蘋果,píngguǒ,apple,N,A2,Other
瓶子,píngzi,bottle,N,A2,Other
破,pò,to be broken,VS,A2,Actions
奇怪,qíguài,"to be strange, to be queer, to be unusual",VS,A2,Actions
汽水,qìshuǐ,"soda pop, carbonated drink",N,A2,Food
起,qǐ,"to stand up, get up, to lift, to rise",VA,A2,People
起來,qǐlái,"to stand up, to rise",VA,A2,People
汽車,qìchē,"automobile, car",N,A2,People
鉛筆,qiānbǐ,pencil,N,A2,People
前天,qiántiān,the day before yesterday,N,A2,Time
牆,qiáng,wall,N,A2,Other
橋,qiáo,bridge,N,A2,People
巧克力,qiǎokèlì,chocolate,N,A2,Other
親,qīn,to kiss,VA,A2,People
輕,qīng,to be light,VS,A2,Actions
清楚,qīngchǔ,to be clear,VS,A2,Actions
晴天,qíngtiān,"clear day, sunny day",N,A2,Time
請客,qǐngkè,"to host, to invite, to treat someone(to dinner,etc.)",VA,A2,Food
慶祝,qìngzhù,to celebrate,VA,A2,Other
全部,quánbù,"all, whole",Det,A2,Other
裙子,qúnzi,skirt,N,A2,Clothes
然後,ránhòu,"afterwards, then",Adv,A2,People
讓,ràng,"used in a passive sentence structure to introduce the agent; to let, to allow, to permit, to make",Prep,A2,Actions
認為,rènwéi,"to believe that, consider that",VA,A2,Clothes
認真,rènzhēn,"to be conscientious, earnest, serious",VS,A2,Actions
日,rì,date,N,A2,Other
日子,rìzi,days,N,A2,Time
如果,rúguǒ,"if, in case, in the event of",Conj,A2,People
森林,sēnlín,forest,N,A2,Conjunctions
沙發,shāfā,sofa,N,A2,Conjunctions
上來,shànglái,to come up; up,VA,A2,People
上去,shàngqù,to go up,VA,A2,Actions
上學,shàngxué,"to attend school, to be at school",VA,A2,Actions
生活,shēnghuó,life,N,A2,People
生活,shēnghuó,to live,VA,A2,People
生氣,shēngqì,to be angry; to take offense,VS,A2,Emotions
聲音,shēngyīn,"sound, voice",N,A2,People
事,shì,"affair, work",N,A2,People
試,shì,to try,VA,A2,Other
市場,shìchǎng,market,N,A2,Other
世界,shìjiè,the world,N,A2,People
事情,shìqíng,"affair; something to do, a matter, event",N,A2,Actions
石頭,shítóu,stone,N,A2,Numbers
食物,shíwù,"food, edibles",N,A2,Food
手套,shǒutào,"gloves, mittens",N,A2,Emotions
瘦,shòu,to be thin,VS,A2,Actions
書桌,shūzhuō,desk,N,A2,Other
數,shǔ,to count,VA,A2,Other
刷牙,shuāyá,to brush ones teeth,VA,A2,Numbers
睡,shuì,to sleep,VA,A2,Other
酸,suān,to be sour,VS,A2,Actions
雖然,suīrán,"though, although",Conj,A2,Other
隨便,suíbiàn,"whatever, wherever, whenever, do as one please",VS,A2,Clothes
所有,suǒyǒu,all,Det,A2,Other
談,tán,to talk about,VA,A2,Other
湯,tāng,soup,N,A2,Conjunctions
湯匙,tāngchí,soup spoon,N,A2,Conjunctions
討厭,tǎoyàn,"to dislike, to loathe, to hate",VS,A2,Clothes
套,tào,collective measure word for a group of things used togather,M,A2,People
疼,téng,"to be ache, to be in pain, to be sore",VS,A2,Actions
天天,tiāntiān,"every day, daily",Adv,A2,Time
甜,tián,to be sweat,VS,A2,Food
條,tiáo,"(1)Individual measure word for insects or animals; (2)Individual measure word for long, narrow things; (3)Individual measure word for natural things, such as mountains, rivers, etc.",M,A2,Animals
跳,tiào,"to jump, to palpitate, to skip(over",VA,A2,People
聽見,tīngjiàn,to hear,VA,A2,People
聽說,tīngshuō,hear it said,VA,A2,People
停,tíng,to stop,VS,A2,Other
停車,tíngchē,to park the car,VA,A2,Places
通知,tōngzhī,information,N,A2,People
通知,tōngzhī,"to inform, to notify",VA,A2,People
偷,tōu,"to steal, to burglarize",VA,A2,Food
頭髮,tóufǎ,hair(on the human head),N,A2,People
推,tuī,to push forward,VA,A2,Conjunctions
腿,tuǐ,leg,N,A2,Other
外套,wàitào,overcoat,N,A2,Clothes
危險,wéixiǎn,"to be dangerous, perilous",VS,A2,Actions
味道,wèidào,"taste, flavor, smell, odor",N,A2,People
無聊,wúliáo,to be bored; to be boring and uninteresting; to be a nuisance; to be nonsensical,VS,A2,Actions
西瓜,xīguā,watermelon,N,A2,Food
希望,xīwàng,"to hope, to wish",VS,A2,People
習慣,xíguàn,habit,N,A2,People
需要,xūyào,"to need, to demand",VS,A2,People
許多,xǔduō,"many, a lot of",Det,A2,People
下來,xiàlái,to come down from a higher place,VA,A2,People
下去,xiàqù,to go down; descend,VA,A2,Actions
下雪,xiàxuě,to snow,VA,A2,Other
香,xiāng,"to be scented, to be fragrant",VS,A2,Actions
鄉下,xiāngxià,countryside,N,A2,People
相信,xiāngxìn,to trust,VS,A2,Other
箱子,xiāngzi,"box, trunk, case",N,A2,Other
向,xiàng,"rep to, towards",Prep,A2,Other
消息,xiāoxí,"news, information",N,A2,People
小說,xiǎoshuō,"novel, short story",N,A2,Conjunctions
小偷,xiǎotōu,"thief, burglar",N,A2,People
小學,xiǎoxué,elementary school,N,A2,Places
笑,xiào,"to smile, to laugh, to laugh at",VA,A2,People
笑話,xiàohuà,joke,N,A2,Other
校長,xiàozhǎng,"principal/ head of a school, head-master",N,A2,Places
心,xīn,heart,N,A2,People
辛苦,xīnkǔ,"to be hard, toilsome, painstaking",VS,A2,Actions
新聞,xīnwén,news,N,A2,Other
星星,xīngxīng,stars,N,A2,Other
興趣,xìngqù,interest,N,A2,People
學習,xuéxí,to study; to learn,VA,A2,Other
雪,xuě,snow,N,A2,Other
牙刷,yáshuā,toothbrush,N,A2,Adverbs
顏色,yánsè,color,N,A2,Conjunctions
眼鏡,yǎnjìng,"glasses, spectacles",N,A2,Other
鑰匙,yàoshí,key,N,A2,Other
要是,yàoshì,if,Conj,A2,People
羊,yáng,"sheep, goat",N,A2,Animals
樣子,yàngzi,"appearance, shape, model, pattern",N,A2,Other
也許,yěxǔ,"perhaps, maybe, might",Adv,A2,People
爺爺,yéye,"grandpa, grandfather(father's father); a respectful form of address for an old man   一半(兒) yíbàn(ér): half, in part","N, Det",A2,Clothes
一邊,yìbiān,"at the same time, simultaneously; on the one/ other hand",Adv,A2,People
一會兒,yíhuìér,"a moment, a short while",N,A2,People
飲料,yǐnliào,"soft drink, beverage",N,A2,Food
陰天,yīntiān,"overcast sky, cloudy day",N,A2,Time
應該,yīnggāi,"should, ought to",Adv,A2,Other
永遠,yǒngyuǎn,"always, forever",Adv,A2,Adverbs
有趣,yǒuqù,"interesting, fascinating, amusing",VS,A2,People
有用,yǒuyòng,to be useful,VS,A2,Actions
又,yòu,"and, in addition",Conj,A2,People
雨,yǔ,rain,N,A2,People
圓,yuán,"to be round, to be circular",VS,A2,Actions
原來,yuánlái,"originally, formerly   院(子) yuàn(zi): yard","Adv, N",A2,People
願意,yuànyì,to be willing,VS,A2,Actions
約,yuē,to make an appointment,VA,A2,Actions
越來越,yuèláiyuè,more and more...,Adv,A2,Conjunctions
月亮,yuèliàng,moon,N,A2,Other
語法,yǔfǎ,grammar,N,A2,Other
語言,yǔyán,language,N,A2,Other
雲,yún,cloud,N,A2,Other
髒,zāng,to be dirty,VS,A2,Actions
炸雞,zhájī,fried chicken,N,A2,People
張,zhāng,Individual measure word for the mouth or face of a person or animal,M,A2,Animals
著急,zhāojí,"to be nervous, anxious",VS,A2,Actions
著,zhe,"a verbal suffix, indicating the action or the state is continuing",P,A2,Animals
這邊,zhèbiān,"this side, here   這麼(樣) zhème(yàng): so, like this","N, Adv",A2,People
真,zhēn,"really, truly, indeed",Adv,A2,People
真,zhēn,"to be real, true",VS,A2,Actions
正在,zhèngzài,indicating an action in progress,Adv,A2,Animals
枝,zhī,Individual measure word for flowers and grass,M,A2,People
隻,zhī,(1)measure word for the one of two things of the same kind; (2)measure word for one of the ymetrical limbs or organs of people or animals,M,A2,Animals
只,zhǐ,only,Adv,A2,Other
只好,zhǐhǎo,"cannot but, have to",Adv,A2,Adverbs
中間,zhōngjiān,"between, among, in the middle of",N,A2,People
鐘頭,zhōngtóu,hour,N,A2,Other
中心,zhōngxīn,"center, heart, central point",N,A2,People
種,zhǒng,collective measure word for people or things of the same kind,M,A2,People
種,zhòng,"to plant, cultivate, sow",VA,A2,People
豬,zhū,pig,N,A2,Animals
煮,zhǔ,"to boil, to cook",VA,A2,People
祝,zhù,"to wish(someone good health, good luck, etc.), to offer good wishes",VA,A2,People
裝,zhuāng,"to fill, to load",VA,A2,People
準備,zhǔnbèi,"to prepare, to intend",VA,A2,People
注意,zhùyì,"to pay attention to, to take notice of",VS,A2,People
字,zì,character,N,A2,Other
總是,zǒngshì,"always, without exception",Adv,A2,People
租,zū,to rent,VA,A2,Other
嘴巴,zuǐbā,mouth,N,A2,Other
做菜,zuòcài,to cook,VA,A2,Other
作業,zuòyè,homework,N,A2,Places
